id,time,province,county,city,area,neighborhood,title,type,price,parking,rooms,sqrm,floor,surface,elevator,tag,img,url
100732868,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa de pueblo en Arenys de Munt,venta,549000,0,5,364,None,None,None,Masia,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/82/96/1e/1097196557.jpg,https://www.idealista.com/inmueble/100732868/
99617932,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en avenida Til·lers, Arenys de Munt",venta,360000,0,4,190,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/10/e3/26/1049580922.jpg,https://www.idealista.com/inmueble/99617932/
100855318,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,212000,0,3,64,9,outdoor,1,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/7e/2f/ba/1101188326.jpg,https://www.idealista.com/inmueble/100855318/
100938468,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en paseo Joan XXIII, Arenys de Munt",venta,145000,0,1,50,2,None,1,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/d5/23/55/1104549715.jpg,https://www.idealista.com/inmueble/100938468/
99350344,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,379000,0,5,150,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/90/b7/c0/1093786132.jpg,https://www.idealista.com/inmueble/99350344/
100638239,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Urbanització Collsacreu, Arenys de Munt",venta,420000,1,5,210,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/82/3c/bb/1094259105.jpg,https://www.idealista.com/inmueble/100638239/
99583635,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet en calle Rial de Can Bellsolell, Arenys de Munt",venta,495000,1,5,266,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b3/a8/c3/1048260182.jpg,https://www.idealista.com/inmueble/99583635/
98920530,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en heures, Arenys de Munt",venta,465000,1,5,266,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/62/b7/55/1031439179.jpg,https://www.idealista.com/inmueble/98920530/
93986907,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Les Suredes, Arenys de Munt",venta,600000,1,7,417,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/6e/38/fe/876935231.jpg,https://www.idealista.com/inmueble/93986907/
100562687,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,450000,1,4,250,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b1/90/6b/1091862557.jpg,https://www.idealista.com/inmueble/100562687/
100792586,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet adosado en Batlle Trias, 7, Arenys de Munt",venta,499300,1,5,289,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/b6/11/86/1099014055.jpg,https://www.idealista.com/inmueble/100792586/
100480427,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,445000,1,4,206,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/55/3c/00/1088912262.jpg,https://www.idealista.com/inmueble/100480427/
99868061,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Chalet pareado en Arenys de Munt,venta,530000,1,4,261,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/ef/77/19/1094255140.jpg,https://www.idealista.com/inmueble/99868061/
99640549,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,680000,1,4,204,None,None,None,Villa,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/48/e4/35/1080994803.jpg,https://www.idealista.com/inmueble/99640549/
100463791,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de la Generalitat, Arenys de Munt",venta,340000,1,5,178,3,None,1,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/bc/fd/d1/1087557852.jpg,https://www.idealista.com/inmueble/100463791/
97605492,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,2350000,1,12,930,None,None,None,Villa,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/81/97/85/984579330.jpg,https://www.idealista.com/inmueble/97605492/
100075107,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en rasa, 34, Arenys de Munt",venta,140000,0,3,76,3,outdoor,0,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/ce/01/55/1068010918.jpg,https://www.idealista.com/inmueble/100075107/
100956358,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,795000,1,4,318,None,None,None,Lujo,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/78/e1/33/1105118722.jpg,https://www.idealista.com/inmueble/100956358/
97609214,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Ático en Arenys de Munt,venta,215000,0,3,106,5,outdoor,0,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/19/88/3d/984710757.jpg,https://www.idealista.com/inmueble/97609214/
100650476,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,620000,1,5,289,None,None,None,Lujo,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/fc/58/70/1106108461.jpg,https://www.idealista.com/inmueble/100650476/
